title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity;country
Say You Won't Let Go;James Arthur;pop;2016;85;56;36;-7;9;49;211;70;6;87;GB
Something Just Like This;The Chainsmokers;electropop;2017;103;64;62;-7;16;45;247;5;3;87;US
Somewhere Only We Know;Keane;neo mellow;2004;172;67;45;-4;8;30;237;6;3;87;GB
STAY (with Justin Bieber);The Kid LAROI;australian hip hop;2021;170;76;59;-5;10;48;142;4;5;87;AU
Stressed Out;Twenty One Pilots;modern rock;2015;170;64;73;-6;6;65;202;5;14;87;US
Style;Taylor Swift;pop;2014;95;79;59;-6;12;49;231;0;4;87;US
The Nights;Avicii;edm;2014;126;84;53;-5;25;65;177;2;4;87;SE
Thunder;Imagine Dragons;modern rock;2017;168;82;61;-5;15;29;187;1;4;87;US
traitor;Olivia Rodrigo;pop;2021;101;34;38;-8;12;8;229;69;3;87;US
Wake Me Up;Avicii;edm;2013;124;78;53;-6;16;64;247;0;5;87;SE
Where Are You Now;Lost Frequencies;belgian edm;2021;121;64;67;-8;17;26;148;52;10;87;BE
Woman;Doja Cat;dance pop;2021;108;76;82;-4;12;88;173;9;9;87;US
7 rings;Ariana Grande;pop;2019;140;32;78;-11;9;33;179;59;33;86;US
A Sky Full of Stars;Coldplay;permanent wave;2014;125;68;55;-6;21;16;268;1;3;86;GB
Adore You;Harry Styles;pop;2019;99;77;68;-4;10;57;207;2;5;86;UNKNOWN
All of Me;John Legend;neo soul;2013;120;26;42;-7;13;33;270;92;3;86;US
Before You Go;Lewis Capaldi;pop;2019;112;57;46;-5;9;18;215;60;6;86;GB
Beggin';Måneskin;indie rock italiano;2017;134;80;71;-5;36;59;212;13;5;86;IT
Closer;The Chainsmokers;electropop;2016;95;52;75;-6;11;66;245;41;3;86;US
Cold Heart - PNAU Remix;Elton John;glam rock;2021;116;80;80;-6;10;94;203;3;3;86;GB
Counting Stars;OneRepublic;piano rock;2013;122;71;66;-5;12;48;257;7;4;86;US
Daddy Issues;The Neighbourhood;modern alternative rock;2015;85;52;59;-9;12;34;260;7;3;86;US
deja vu;Olivia Rodrigo;pop;2021;181;61;44;-7;37;18;216;58;11;86;US
Demons;Imagine Dragons;modern rock;2012;90;71;51;-3;27;43;178;19;3;86;US
drivers license;Olivia Rodrigo;pop;2021;144;43;56;-9;11;14;242;77;6;86;US
everything i wanted;Billie Eilish;art pop;2019;120;23;70;-14;11;24;245;90;10;86;US
Fair Trade (with Travis Scott);Drake;canadian hip hop;2021;168;47;67;-9;22;29;291;5;26;86;CA
Flashing Lights;Kanye West;chicago rap;2007;90;63;64;-8;39;43;238;4;4;86;US
FLOWER;JISOO;k-pop;2023;124;38;84;-8;7;60;173;2;4;86;KR
Glimpse of Us;Joji;viral pop;2022;170;32;44;-9;14;27;233;89;5;86;US
God's Plan;Drake;canadian hip hop;2018;77;45;75;-9;55;36;199;3;11;86;CA
good 4 u;Olivia Rodrigo;pop;2021;167;66;56;-5;8;69;178;34;15;86;US
goosebumps;Travis Scott;hip hop;2016;130;73;84;-3;15;43;244;8;5;86;US
Hips Don't Lie (feat. Wyclef Jean);Shakira;colombian pop;2005;100;82;78;-6;41;76;218;28;7;86;CO
HUMBLE.;Kendrick Lamar;conscious hip hop;2017;150;62;91;-7;10;42;177;0;10;86;US
