title,artist,top genre,year,bpm,energy,danceability ,dB,liveness,valence,duration,acousticness,speechiness ,popularity,country
Let Me Blow Ya Mind,Eve,contemporary r&b,2001.0,90.0,56.0,91.0,-4.0,7.0,90.0,230.0,24.0,11.0,77.0,JP
Smooth Criminal,Alien Ant Farm,alternative metal,2001.0,127.0,96.0,65.0,-4.0,14.0,87.0,209.0,0.0,6.0,77.0,US
Fat Lip,Sum 41,alternative metal,2001.0,197.0,91.0,40.0,-5.0,7.0,63.0,178.0,0.0,14.0,76.0,CA
L'Amour Toujours,Gigi D'Agostino,eurodance,2001.0,139.0,88.0,64.0,-4.0,36.0,74.0,242.0,8.0,3.0,76.0,IT
Wherever You Will Go,The Calling,neo mellow,2001.0,112.0,72.0,56.0,-5.0,12.0,37.0,209.0,4.0,3.0,76.0,US
Last Nite,The Strokes,alternative rock,2001.0,104.0,91.0,62.0,-6.0,8.0,77.0,193.0,3.0,3.0,75.0,US
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,bronx hip hop,2001.0,94.0,71.0,84.0,-5.0,11.0,92.0,267.0,2.0,6.0,75.0,US
Your Body Is a Wonderland,John Mayer,neo mellow,2001.0,94.0,73.0,65.0,-6.0,13.0,69.0,250.0,2.0,2.0,75.0,US
She Hates Me,Puddle Of Mudd,alternative metal,2001.0,110.0,75.0,58.0,-5.0,75.0,58.0,217.0,1.0,3.0,73.0,US
Someday,The Strokes,alternative rock,2001.0,106.0,53.0,54.0,-7.0,34.0,67.0,183.0,0.0,3.0,73.0,US
U Got It Bad,Usher,atl hip hop,2001.0,124.0,50.0,82.0,-5.0,7.0,65.0,248.0,2.0,3.0,73.0,US
U Remind Me,Usher,atl hip hop,2001.0,94.0,63.0,66.0,-5.0,25.0,73.0,267.0,19.0,8.0,73.0,US
Get the Party Started,P!nk,dance pop,2001.0,129.0,90.0,80.0,-3.0,17.0,96.0,193.0,0.0,5.0,72.0,US
I'm a Slave 4 U,Britney Spears,dance pop,2001.0,110.0,84.0,85.0,-4.0,11.0,96.0,204.0,42.0,11.0,72.0,US
My Sacrifice,Creed,alternative metal,2001.0,146.0,88.0,32.0,-6.0,8.0,26.0,295.0,0.0,5.0,72.0,US
Sandstorm,Darude,eurodance,2001.0,136.0,97.0,53.0,-8.0,8.0,59.0,225.0,14.0,5.0,72.0,FI
Survivor,Destiny's Child,dance pop,2001.0,161.0,91.0,51.0,-2.0,78.0,62.0,254.0,6.0,41.0,72.0,US
Youth of the Nation,P.O.D.,alternative metal,2001.0,98.0,86.0,56.0,-8.0,39.0,52.0,256.0,1.0,6.0,72.0,US
Can't Fight The Moonlight,LeAnn Rimes,contemporary country,2001.0,98.0,83.0,63.0,-6.0,5.0,63.0,216.0,40.0,5.0,71.0,US
Get Ur Freak On,Missy Elliott,dance pop,2001.0,178.0,75.0,80.0,-9.0,10.0,74.0,211.0,53.0,25.0,71.0,US
Hero,Enrique Iglesias,dance pop,2001.0,77.0,64.0,35.0,-6.0,11.0,16.0,264.0,14.0,5.0,70.0,ES
Hit 'Em Up Style (Oops!),Blu Cantrell,hip pop,2001.0,90.0,77.0,67.0,-5.0,40.0,67.0,251.0,20.0,6.0,70.0,US
Just Like a Pill,P!nk,dance pop,2001.0,102.0,77.0,69.0,-5.0,9.0,25.0,237.0,0.0,3.0,70.0,US
Out Of Reach,GABRIELLE,british soul,2001.0,183.0,48.0,51.0,-7.0,11.0,50.0,197.0,50.0,5.0,70.0,GB
Picture (feat. Sheryl Crow),Kid Rock,nu metal,2001.0,98.0,50.0,69.0,-7.0,11.0,38.0,299.0,17.0,2.0,70.0,US
You Rock My World,Michael Jackson,r&b,2001.0,95.0,67.0,85.0,-3.0,26.0,96.0,338.0,4.0,19.0,70.0,US
Because I Got High,Afroman,comedy rap,2001.0,166.0,34.0,80.0,-9.0,8.0,85.0,198.0,17.0,49.0,69.0,US
Differences,Ginuwine,contemporary r&b,2001.0,63.0,59.0,56.0,-5.0,31.0,42.0,266.0,32.0,6.0,69.0,US
Fallin',Alicia Keys,neo soul,2001.0,96.0,61.0,65.0,-8.0,23.0,48.0,210.0,26.0,4.0,69.0,US
I'm A Believer,Smash Mouth,pop rock,2001.0,82.0,98.0,55.0,-4.0,44.0,87.0,185.0,2.0,6.0,69.0,US
Love Don't Cost a Thing,Jennifer Lopez,dance pop,2001.0,98.0,84.0,79.0,-5.0,47.0,69.0,221.0,0.0,7.0,69.0,US
Purple Pills,D12,detroit hip hop,2001.0,125.0,63.0,78.0,-6.0,29.0,75.0,305.0,2.0,16.0,69.0,US
Rock The Boat,Aaliyah,contemporary r&b,2001.0,93.0,73.0,64.0,-5.0,20.0,42.0,275.0,7.0,3.0,69.0,US
Sing,Travis,britpop,2001.0,163.0,91.0,33.0,-5.0,7.0,26.0,229.0,0.0,5.0,69.0,UNKNOWN
Try Again,Aaliyah,contemporary r&b,2001.0,93.0,66.0,79.0,-5.0,9.0,68.0,285.0,8.0,25.0,69.0,US
I'm Real (feat. Ja Rule) - Murder Remix,Jennifer Lopez,dance pop,2001.0,83.0,59.0,71.0,-8.0,7.0,55.0,262.0,27.0,15.0,68.0,US
Independent Women Pt. 1,Destiny's Child,dance pop,2001.0,98.0,60.0,73.0,-4.0,17.0,93.0,221.0,36.0,21.0,68.0,US
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,dance pop,2001.0,110.0,80.0,76.0,-4.0,67.0,65.0,265.0,1.0,5.0,68.0,US
Somethin' Stupid,Robbie Williams,dance rock,2001.0,106.0,52.0,65.0,-12.0,17.0,68.0,170.0,43.0,3.0,68.0,GB
Without Me,Eminem,detroit hip hop,2002.0,112.0,67.0,91.0,-3.0,24.0,66.0,290.0,0.0,7.0,90.0,US
The Scientist,Coldplay,permanent wave,2002.0,146.0,44.0,56.0,-7.0,11.0,21.0,310.0,73.0,2.0,86.0,GB
Till I Collapse,Eminem,detroit hip hop,2002.0,171.0,85.0,55.0,-3.0,8.0,10.0,298.0,6.0,19.0,86.0,US
Can't Stop,Red Hot Chili Peppers,alternative rock,2002.0,91.0,94.0,62.0,-3.0,17.0,88.0,269.0,2.0,5.0,83.0,US
Clocks,Coldplay,permanent wave,2002.0,131.0,75.0,58.0,-7.0,18.0,26.0,308.0,60.0,3.0,83.0,GB
Complicated,Avril Lavigne,canadian pop,2002.0,78.0,78.0,59.0,-6.0,30.0,43.0,245.0,6.0,5.0,81.0,CA
She Will Be Loved - Radio Mix,Maroon 5,pop,2002.0,102.0,66.0,65.0,-6.0,10.0,47.0,259.0,23.0,3.0,81.0,US
This Love,Maroon 5,pop,2002.0,95.0,86.0,71.0,-5.0,9.0,81.0,206.0,5.0,4.0,81.0,US
Dilemma,Nelly,dance pop,2002.0,168.0,55.0,73.0,-8.0,20.0,61.0,289.0,23.0,14.0,80.0,US
Sing For The Moment,Eminem,detroit hip hop,2002.0,164.0,82.0,67.0,-4.0,4.0,19.0,340.0,0.0,14.0,80.0,US
All The Things She Said,t.A.T.u.,dance pop,2002.0,90.0,83.0,60.0,-6.0,11.0,38.0,214.0,4.0,4.0,79.0,RU
Like a Stone,Audioslave,alternative metal,2002.0,108.0,57.0,61.0,-5.0,10.0,52.0,294.0,1.0,3.0,79.0,US
A Thousand Miles,Vanessa Carlton,lilith,2002.0,95.0,83.0,56.0,-4.0,16.0,27.0,237.0,32.0,4.0,78.0,US
Here Without You,3 Doors Down,alternative metal,2002.0,144.0,53.0,56.0,-7.0,21.0,23.0,239.0,5.0,3.0,78.0,US
Rock Your Body,Justin Timberlake,dance pop,2002.0,101.0,71.0,89.0,-6.0,5.0,82.0,267.0,20.0,14.0,78.0,US
Sk8er Boi,Avril Lavigne,canadian pop,2002.0,150.0,90.0,49.0,-4.0,36.0,48.0,204.0,0.0,5.0,78.0,CA
