spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
42UBPzRMh5yyz0EDPr6fr1,Manchild,Sabrina Carpenter,48,-5,2,BR,2025-06-11,89,True,213645,Manchild,2025-06-05,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
3FBs8ttL0pPOLTbC6xWpTj,THE BOX MEDLEY FUNK 6,"THE BOX, Oruam, Real Fuba, Didi, Luanzin, Neo Beats, Victor WAO",49,-1,1,BR,2025-06-11,71,True,378218,THE BOX MEDLEY FUNK 6,2025-05-29,0.587,0.365,9,-11.853,0,0.482,0.83,0.0,0.0741,0.773,81.772,5
25CffgwZg6vlUdCsHJijZo,Baqueado - Ao Vivo,"Panda, Ícaro e Gilmar, MJ Records",50,-1,0,BR,2025-06-11,73,False,146750,Panda Sem Moderação (Ao Vivo),2024-12-19,0.618,0.746,2,-5.756,1,0.0367,0.489,0.0,0.243,0.52,108.537,4
6iOndD4OFo7GkaDypWQIou,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",1,0,1,BO,2025-06-11,95,True,150001,La Plena (W Sound 05),2025-02-19,0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4
27xkOIER6uDLKALIelHylZ,Don’t Say You Love Me,Jin,2,0,-1,BO,2025-06-11,93,False,180716,Echo,2025-05-16,0.729,0.562,8,-5.49,1,0.0304,0.484,0.0,0.105,0.757,111.976,4
1HEwEN64NjgTaHmo7LfkX8,no tiene sentido,Beéle,3,0,0,BO,2025-06-11,89,False,158036,BORONDO,2025-05-15,0.671,0.596,2,-7.565,0,0.0556,0.0871,1.97e-05,0.119,0.497,121.976,4
1PREzVLuDT6PSE9sej4wnV,COQUETA,"Fuerza Regida, Grupo Frontera",4,0,0,BO,2025-06-11,90,False,241648,MALA MÍA,2024-12-19,0.74,0.819,1,-4.853,0,0.0866,0.244,0.0,0.107,0.884,78.975,4
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,5,0,0,BO,2025-06-11,96,True,367725,DeBÍ TiRAR MáS FOToS,2025-01-05,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
0DMJz677XfXiiruhIELu2e,VITAMINA,"Jombriel, DFZM, Jøtta",6,0,0,BO,2025-06-11,92,False,208743,VITAMINA,2025-02-27,0.815,0.746,10,-4.855,0,0.0528,0.015,2.26e-06,0.056,0.768,92.007,4
4zhk2RS2EZODmBW6il55Qj,mi refe,"Beéle, Ovy On The Drums",7,0,0,BO,2025-06-11,85,False,159404,BORONDO,2025-05-15,0.637,0.648,7,-5.306,0,0.271,0.403,5.41e-05,0.119,0.441,123.108,4
